,bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,fips
66,1.0,2.0,914.0,39917.0,6059.0
67,3.0,4.0,1976.0,468642.0,6059.0
68,2.5,4.0,2101.0,567655.0,6059.0
69,2.0,3.0,1641.0,130161.0,6037.0
70,3.0,3.0,1933.0,342383.0,6037.0
71,3.0,3.0,2149.0,211886.0,6037.0
72,3.5,3.0,4511.0,5422228.0,6059.0
73,2.0,4.0,1440.0,249577.0,6037.0
74,2.0,4.0,1576.0,82375.0,6037.0
75,1.0,2.0,843.0,177000.0,6037.0
76,5.0,9.0,4198.0,1561350.0,6037.0
77,4.0,5.0,2447.0,179392.0,6037.0
78,2.0,2.0,1915.0,530519.0,6059.0
79,3.0,3.0,1832.0,730040.0,6059.0
80,6.0,4.0,3408.0,538838.0,6037.0
81,3.0,2.0,1190.0,476000.0,6037.0
82,2.0,4.0,1700.0,194600.0,6037.0
83,2.0,4.0,1591.0,87378.0,6037.0
84,3.0,5.0,2772.0,60847.0,6037.0
85,2.0,3.0,1530.0,465989.0,6037.0
86,2.5,4.0,2019.0,75126.0,6059.0
87,2.0,3.0,1205.0,443008.0,6037.0
88,2.0,4.0,1370.0,121927.0,6037.0
89,7.5,5.0,6278.0,1389230.0,6111.0
90,2.0,2.0,1487.0,780000.0,6037.0
91,1.5,2.0,1142.0,192248.0,6059.0
92,2.5,3.0,1401.0,360000.0,6059.0
93,2.0,3.0,1692.0,240173.0,6037.0
94,1.5,2.0,1190.0,357000.0,6059.0
95,1.5,2.0,1190.0,357000.0,6059.0
96,2.0,2.0,969.0,286000.0,6037.0
97,2.0,4.0,1909.0,551273.0,6059.0
98,4.0,6.0,4105.0,397335.0,6037.0
99,3.0,3.0,2323.0,426415.0,6059.0
100,1.0,1.0,681.0,215327.0,6059.0
101,2.0,2.0,1766.0,203113.0,6037.0
102,1.0,3.0,1493.0,304000.0,6037.0
103,2.0,2.0,1257.0,89358.0,6059.0
104,2.0,4.0,1767.0,554788.0,6059.0
105,1.0,3.0,1014.0,329298.0,6037.0
106,2.0,2.0,998.0,279000.0,6037.0
107,1.0,2.0,1268.0,309098.0,6037.0
108,3.0,3.0,2020.0,120877.0,6037.0
109,2.5,3.0,1398.0,501586.0,6059.0
110,1.5,3.0,1463.0,47572.0,6059.0
111,1.0,3.0,1135.0,405844.0,6037.0
112,3.0,3.0,1356.0,381074.0,6037.0
113,2.0,3.0,1520.0,299491.0,6037.0
114,3.0,3.0,1912.0,613000.0,6037.0
115,2.0,2.0,1581.0,526237.0,6037.0
116,2.5,3.0,1868.0,689693.0,6059.0
117,2.0,4.0,1545.0,529000.0,6037.0
118,2.0,3.0,1612.0,240155.0,6037.0
119,3.0,3.0,2388.0,925806.0,6037.0
120,2.5,2.0,1101.0,322471.0,6059.0
121,3.5,3.0,1619.0,353326.0,6059.0
122,2.0,2.0,973.0,154349.0,6037.0
123,2.0,4.0,1975.0,273372.0,6059.0
124,2.0,2.0,1317.0,86578.0,6037.0
125,3.5,4.0,2802.0,1074416.0,6059.0
126,3.0,4.0,3099.0,921394.0,6059.0
127,2.0,3.0,1436.0,386000.0,6037.0
128,1.0,2.0,927.0,61223.0,6037.0
129,2.0,3.0,1094.0,101143.0,6037.0
130,2.0,2.0,1558.0,368808.0,6037.0
131,1.5,3.0,1238.0,162481.0,6111.0
132,1.0,2.0,796.0,250798.0,6037.0
133,2.0,3.0,1502.0,105149.0,6037.0
134,2.0,2.0,1321.0,248126.0,6059.0
135,2.0,3.0,1427.0,304588.0,6059.0
136,2.0,2.0,1160.0,664988.0,6037.0
137,2.0,2.0,1038.0,444171.0,6059.0
138,4.0,8.0,3850.0,596196.0,6037.0
139,2.0,4.0,1352.0,44559.0,6037.0
140,0.0,0.0,1024.0,470992.0,6059.0
141,0.0,0.0,1983.0,681574.0,6059.0
142,1.0,2.0,952.0,792910.0,6059.0
143,1.0,3.0,1236.0,258887.0,6037.0
144,2.0,4.0,1754.0,183000.0,6037.0
145,1.0,2.0,981.0,430000.0,6037.0
146,1.0,2.0,832.0,144102.0,6037.0
147,2.0,3.0,1678.0,416091.0,6037.0
148,1.5,3.0,1396.0,565000.0,6111.0
149,1.0,3.0,983.0,43506.0,6037.0
150,2.0,3.0,1560.0,114760.0,6037.0
151,2.0,4.0,1527.0,61042.0,6059.0
152,2.0,3.0,1703.0,302612.0,6037.0
153,2.5,2.0,2018.0,519967.0,6059.0
154,2.5,3.0,1833.0,501000.0,6111.0
155,3.5,4.0,2637.0,933713.0,6059.0
156,2.0,3.0,1321.0,460811.0,6037.0
157,4.0,6.0,2760.0,828000.0,6037.0
158,2.0,4.0,2048.0,213244.0,6037.0
159,2.0,3.0,1399.0,456861.0,6037.0
160,2.0,3.0,864.0,260056.0,6037.0
161,1.0,2.0,992.0,20865.0,6037.0
162,2.5,3.0,904.0,162456.0,6059.0
163,2.0,3.0,1569.0,125729.0,6037.0
164,2.0,4.0,2044.0,81779.0,6059.0
165,2.5,4.0,1754.0,107653.0,6059.0
166,5.5,3.0,4361.0,1562700.0,6111.0
167,2.0,3.0,1950.0,1218072.0,6037.0
168,3.0,4.0,2846.0,269273.0,6111.0
169,3.0,2.0,1382.0,424285.0,6037.0
170,2.0,3.0,1214.0,473134.0,6037.0
171,3.0,4.0,2504.0,752570.0,6037.0
172,1.0,3.0,1083.0,55040.0,6037.0
173,3.0,4.0,2215.0,529990.0,6037.0
174,1.0,1.0,675.0,237000.0,6059.0
175,3.0,2.0,1556.0,682937.0,6037.0
176,2.0,2.0,1007.0,267146.0,6059.0
177,2.0,3.0,1202.0,179483.0,6037.0
178,2.5,4.0,2542.0,1090401.0,6111.0
179,2.0,3.0,1464.0,246454.0,6037.0
180,1.0,2.0,848.0,67166.0,6037.0
181,3.0,4.0,2800.0,191531.0,6037.0
182,3.0,5.0,2266.0,690000.0,6037.0
183,2.5,3.0,1949.0,296033.0,6111.0
184,2.0,3.0,2020.0,222638.0,6037.0
185,2.5,5.0,2882.0,395169.0,6059.0
186,1.0,1.0,1990.0,327118.0,6037.0
187,2.0,3.0,1573.0,286985.0,6037.0
188,2.0,3.0,1223.0,158313.0,6037.0
189,3.0,2.0,1220.0,239253.0,6037.0
190,3.0,2.0,1449.0,227808.0,6037.0
191,2.0,2.0,1054.0,168986.0,6037.0
192,2.0,4.0,1904.0,1656855.0,6037.0
193,1.0,2.0,1104.0,44435.0,6037.0
194,3.0,3.0,2240.0,670065.0,6037.0
195,2.0,2.0,1670.0,797000.0,6037.0
196,1.0,2.0,699.0,176038.0,6037.0
197,2.0,4.0,1698.0,296484.0,6059.0
198,2.0,3.0,2170.0,257517.0,6111.0
199,1.0,1.0,490.0,124890.0,6037.0
200,3.0,6.0,2901.0,425115.0,6111.0
201,1.0,2.0,1008.0,407000.0,6037.0
202,2.0,6.0,2333.0,350917.0,6111.0
203,2.0,3.0,1120.0,504579.0,6059.0
204,1.0,2.0,912.0,318218.0,6059.0
205,3.0,4.0,1914.0,166190.0,6037.0
206,1.0,3.0,1299.0,543654.0,6037.0
207,3.0,4.0,2758.0,659912.0,6059.0
208,3.0,4.0,1972.0,629875.0,6059.0
209,3.0,3.0,1510.0,502548.0,6037.0
210,3.0,3.0,2178.0,582528.0,6037.0
211,2.0,3.0,1112.0,55304.0,6059.0
212,2.5,4.0,1704.0,280520.0,6059.0
213,1.0,2.0,1680.0,856000.0,6037.0
214,2.0,4.0,2151.0,1234000.0,6111.0
215,2.0,2.0,1686.0,1395968.0,6037.0
216,1.5,3.0,1152.0,365000.0,6111.0
217,1.0,1.0,780.0,228601.0,6059.0
218,2.0,2.0,1070.0,473237.0,6037.0
219,3.0,4.0,1766.0,418820.0,6037.0
220,1.0,3.0,1180.0,508000.0,6037.0
221,1.0,1.0,728.0,427370.0,6037.0
222,2.0,2.0,989.0,429235.0,6059.0
223,6.0,5.0,7003.0,4370651.0,6037.0
224,2.0,3.0,1800.0,707681.0,6111.0
225,3.0,5.0,2897.0,234513.0,6059.0
226,2.0,4.0,1898.0,501583.0,6037.0
227,3.0,6.0,2349.0,501533.0,6037.0
228,1.0,3.0,883.0,116280.0,6037.0
229,1.0,2.0,1200.0,85317.0,6037.0
230,1.0,3.0,1201.0,56144.0,6059.0
231,1.0,2.0,800.0,480000.0,6037.0
232,1.0,2.0,990.0,132080.0,6037.0
233,1.0,2.0,913.0,30223.0,6037.0
234,2.0,2.0,1501.0,275717.0,6037.0
235,2.0,3.0,1229.0,390912.0,6037.0
236,2.5,3.0,2461.0,753315.0,6059.0
237,4.0,4.0,3413.0,390000.0,6037.0
238,2.5,3.0,2568.0,742000.0,6111.0
239,3.0,3.0,1810.0,550000.0,6037.0
240,2.0,4.0,2020.0,296740.0,6059.0
241,1.0,2.0,1303.0,433607.0,6059.0
242,2.0,2.0,1600.0,374626.0,6037.0
243,2.0,2.0,1386.0,57936.0,6037.0
244,4.5,5.0,3835.0,723980.0,6059.0
245,2.0,3.0,1407.0,51307.0,6037.0
246,3.0,3.0,1817.0,438372.0,6037.0
247,2.0,4.0,1800.0,416541.0,6037.0
248,1.0,4.0,1170.0,40423.0,6037.0
249,3.0,5.0,2614.0,382608.0,6037.0
250,1.0,3.0,999.0,816420.0,6111.0
251,4.5,4.0,4254.0,1618814.0,6059.0
252,2.0,3.0,1511.0,424568.0,6037.0
253,5.5,6.0,5400.0,2317561.0,6059.0
254,3.5,3.0,5019.0,1245366.0,6059.0
255,3.0,7.0,3130.0,326341.0,6037.0
256,4.0,3.0,3735.0,974032.0,6111.0
257,2.0,3.0,1100.0,255693.0,6037.0
258,2.5,3.0,1452.0,415248.0,6059.0
259,4.0,5.0,2590.0,446951.0,6037.0
260,2.0,3.0,1346.0,97327.0,6037.0
261,3.0,4.0,2274.0,261538.0,6037.0
262,2.0,3.0,1402.0,43233.0,6037.0
263,3.0,3.0,1796.0,429683.0,6037.0
264,2.0,2.0,1895.0,542048.0,6037.0
265,3.0,4.0,2468.0,685323.0,6037.0
266,1.0,0.0,740.0,188000.0,6037.0
267,2.0,4.0,2263.0,294410.0,6037.0
268,2.0,3.0,2149.0,74741.0,6059.0
269,2.0,3.0,1736.0,88794.0,6037.0
270,2.0,4.0,1744.0,258581.0,6037.0
271,2.0,3.0,1380.0,194007.0,6037.0
272,2.0,3.0,1613.0,613000.0,6037.0
273,2.0,3.0,1603.0,248774.0,6037.0
274,3.0,3.0,1481.0,182391.0,6111.0
275,3.0,4.0,2547.0,239615.0,6037.0
276,2.0,3.0,1353.0,862962.0,6059.0
277,3.0,2.0,1564.0,1020000.0,6037.0
278,4.0,4.0,4561.0,1752796.0,6059.0
279,3.0,2.0,1592.0,565188.0,6037.0
280,3.0,3.0,1626.0,226993.0,6037.0
281,2.0,4.0,1606.0,848826.0,6059.0
282,2.0,4.0,1633.0,565666.0,6059.0
283,3.0,4.0,1934.0,737000.0,6037.0
284,2.5,4.0,1940.0,569544.0,6059.0
285,2.0,4.0,1994.0,549236.0,6037.0
286,1.0,3.0,1196.0,198127.0,6037.0
287,3.5,4.0,2737.0,943202.0,6059.0
288,2.5,3.0,2059.0,583935.0,6059.0
289,2.0,2.0,1047.0,345622.0,6059.0
290,3.0,3.0,1710.0,362435.0,6037.0
291,3.0,5.0,2626.0,92317.0,6037.0
292,2.0,4.0,1972.0,1707368.0,6037.0
293,2.0,2.0,913.0,133025.0,6037.0
294,2.5,2.0,1325.0,530000.0,6059.0
295,2.0,2.0,1160.0,341724.0,6037.0
296,1.0,3.0,1275.0,219653.0,6037.0
297,0.0,0.0,2276.0,101792.0,6037.0
298,2.0,2.0,1437.0,482500.0,6059.0
299,1.0,2.0,942.0,326191.0,6037.0
300,2.0,2.0,1114.0,137484.0,6037.0
301,1.0,2.0,836.0,295437.0,6037.0
302,3.0,3.0,2047.0,1863960.0,6037.0
303,2.0,3.0,1680.0,540921.0,6059.0
304,3.0,2.0,1650.0,416091.0,6037.0
305,1.0,2.0,874.0,281385.0,6037.0
306,2.0,3.0,1359.0,130843.0,6037.0
307,2.0,3.0,1333.0,387238.0,6037.0
308,2.0,2.0,1371.0,399000.0,6037.0
309,2.5,3.0,1823.0,452000.0,6059.0
310,6.0,6.0,4135.0,4318177.0,6037.0
311,2.5,3.0,1640.0,637000.0,6059.0
312,3.0,3.0,1598.0,275833.0,6037.0
313,2.0,3.0,1240.0,455000.0,6111.0
314,2.0,2.0,1291.0,71419.0,6037.0
315,2.0,2.0,1425.0,1197995.0,6059.0
316,2.0,4.0,1533.0,654836.0,6037.0
317,3.0,4.0,2238.0,325341.0,6037.0
318,2.0,4.0,1100.0,395000.0,6037.0
319,3.0,3.0,2225.0,242000.0,6037.0
320,2.0,4.0,1567.0,515000.0,6037.0
321,2.0,3.0,1687.0,468104.0,6037.0
322,1.0,1.0,642.0,70709.0,6059.0
323,2.0,4.0,1861.0,725000.0,6059.0
324,4.0,3.0,3337.0,796324.0,6111.0
325,3.0,4.0,2233.0,525000.0,6037.0
326,1.0,2.0,872.0,259903.0,6037.0
327,1.0,2.0,1081.0,193998.0,6037.0
328,2.0,4.0,1668.0,53595.0,6037.0
329,2.0,4.0,1918.0,79646.0,6059.0
330,3.0,4.0,1480.0,354585.0,6059.0
331,2.0,2.0,981.0,153848.0,6037.0
332,2.0,2.0,1476.0,836670.0,6059.0
333,5.0,4.0,3201.0,1708630.0,6037.0
334,3.0,4.0,3249.0,483407.0,6059.0
335,2.5,3.0,1488.0,579707.0,6059.0
336,2.0,3.0,1456.0,150348.0,6037.0
337,3.0,2.0,1544.0,217074.0,6037.0
338,2.5,3.0,1460.0,451000.0,6059.0
339,1.0,3.0,1122.0,395132.0,6037.0
340,2.0,2.0,1079.0,190919.0,6037.0
341,3.0,2.0,970.0,517766.0,6037.0
342,2.5,3.0,1676.0,568000.0,6059.0
343,2.0,4.0,1627.0,226874.0,6059.0
344,2.0,3.0,1234.0,328206.0,6111.0
345,3.0,3.0,1520.0,1139088.0,6037.0
346,2.0,2.0,1182.0,180735.0,6037.0
347,2.0,3.0,1130.0,217461.0,6037.0
348,1.0,2.0,700.0,106916.0,6037.0
349,1.0,3.0,1066.0,490000.0,6037.0
350,2.5,3.0,1703.0,683452.0,6059.0
351,2.0,3.0,1395.0,363459.0,6037.0
352,2.0,3.0,1568.0,107020.0,6037.0
353,2.0,3.0,1440.0,451786.0,6037.0
354,5.0,5.0,5218.0,1168139.0,6037.0
355,3.0,4.0,2348.0,201593.0,6037.0
356,2.0,3.0,1310.0,336927.0,6111.0
357,4.0,5.0,3064.0,945376.0,6037.0
358,1.5,3.0,1426.0,211762.0,6059.0
359,2.0,3.0,1307.0,249343.0,6037.0
360,3.0,3.0,1802.0,122768.0,6037.0
361,2.0,4.0,2239.0,126166.0,6059.0
362,2.0,3.0,1465.0,650143.0,6111.0
363,2.0,3.0,1284.0,477000.0,6059.0
364,2.0,4.0,1950.0,105131.0,6111.0
365,3.0,4.0,1773.0,209110.0,6037.0
366,3.0,2.0,1421.0,675141.0,6037.0
367,2.0,4.0,1624.0,267574.0,6037.0
368,2.5,3.0,1489.0,652227.0,6059.0
369,1.5,1.0,1174.0,348100.0,6059.0
370,3.0,2.0,2419.0,5177672.0,6037.0
371,2.5,3.0,1987.0,701000.0,6059.0
372,2.0,3.0,1218.0,141611.0,6037.0
373,2.5,4.0,1327.0,221072.0,6059.0
374,4.0,4.0,2791.0,1732657.0,6037.0
375,2.5,4.0,1748.0,462904.0,6059.0
376,5.0,4.0,3743.0,2278000.0,6037.0
377,2.0,3.0,1480.0,297965.0,6059.0
378,1.0,3.0,676.0,34328.0,6037.0
379,1.0,3.0,973.0,354283.0,6059.0
380,3.0,4.0,3314.0,2083810.0,6037.0
381,2.0,2.0,1140.0,405690.0,6037.0
382,3.0,3.0,2363.0,177242.0,6037.0
383,2.5,4.0,2477.0,644555.0,6059.0
384,2.5,2.0,1463.0,352079.0,6111.0
385,2.0,2.0,1210.0,285000.0,6037.0
386,2.0,3.0,1150.0,280656.0,6059.0
387,2.5,2.0,1026.0,157062.0,6059.0
388,2.0,2.0,884.0,276122.0,6037.0
389,2.0,3.0,1284.0,409000.0,6037.0
390,3.0,6.0,2375.0,610624.0,6037.0
391,4.0,5.0,3035.0,625734.0,6037.0
392,4.0,5.0,3971.0,750645.0,6037.0
393,2.0,4.0,1533.0,712000.0,6037.0
394,2.0,4.0,1680.0,332570.0,6037.0
395,3.0,4.0,2131.0,804078.0,6037.0
396,2.0,4.0,1984.0,576979.0,6059.0
397,4.0,5.0,3437.0,630584.0,6037.0
398,2.5,3.0,1869.0,766295.0,6059.0
399,2.0,3.0,1062.0,368000.0,6059.0
400,2.0,2.0,1339.0,215448.0,6037.0
401,2.0,3.0,1186.0,49029.0,6037.0
402,1.0,2.0,1082.0,314100.0,6037.0
403,1.0,3.0,816.0,71135.0,6037.0
404,3.0,3.0,1983.0,577914.0,6059.0
405,3.0,4.0,2387.0,214294.0,6037.0
406,1.0,2.0,1160.0,68398.0,6037.0
407,0.0,0.0,,2493444.0,6059.0
408,1.0,2.0,864.0,117339.0,6037.0
409,2.0,2.0,1271.0,392000.0,6037.0
410,2.5,3.0,1485.0,385606.0,6059.0
411,3.0,4.0,3272.0,232683.0,6037.0
412,3.0,6.0,2084.0,681380.0,6037.0
413,2.0,3.0,1101.0,360454.0,6111.0
414,3.0,4.0,2162.0,243234.0,6111.0
415,2.0,3.0,1456.0,259656.0,6037.0
416,2.0,3.0,1215.0,329000.0,6037.0
417,3.0,3.0,1670.0,1700000.0,6059.0
418,2.0,4.0,1816.0,1248517.0,6059.0
419,1.5,3.0,1268.0,113715.0,6111.0
420,2.5,2.0,1402.0,497056.0,6059.0
421,1.0,1.0,650.0,217558.0,6037.0
422,3.0,4.0,2072.0,56803.0,6037.0
423,1.0,2.0,860.0,116922.0,6037.0
424,2.5,4.0,2282.0,536687.0,6059.0
425,3.0,4.0,2290.0,722061.0,6059.0
426,0.0,0.0,400.0,49627.0,6037.0
427,2.5,3.0,1592.0,274736.0,6111.0
428,2.5,2.0,1204.0,240689.0,6059.0
429,2.5,3.0,1866.0,425099.0,6059.0
430,2.5,4.0,1866.0,412620.0,6059.0
431,1.0,1.0,750.0,310000.0,6037.0
432,1.0,2.0,1142.0,84742.0,6037.0
433,2.0,3.0,1478.0,969563.0,6059.0
434,2.0,2.0,1893.0,1294443.0,6059.0
435,5.0,5.0,4129.0,1084653.0,6037.0
436,3.0,3.0,1792.0,755000.0,6037.0
437,4.0,4.0,2996.0,735936.0,6059.0
438,2.5,2.0,1179.0,413553.0,6059.0
439,3.0,4.0,2074.0,423564.0,6037.0
440,2.0,2.0,934.0,177754.0,6059.0
441,3.0,3.0,1555.0,494718.0,6059.0
442,1.0,3.0,1260.0,205430.0,6037.0
443,2.0,2.0,1660.0,74294.0,6037.0
444,2.5,3.0,1691.0,345337.0,6059.0
445,2.0,4.0,1872.0,321257.0,6037.0
446,2.0,2.0,1230.0,459601.0,6037.0
447,2.0,3.0,1768.0,517766.0,6037.0
448,2.0,3.0,1040.0,217460.0,6037.0
449,1.0,2.0,1248.0,643000.0,6037.0
450,1.0,5.0,1048.0,32257.0,6037.0
451,1.5,3.0,1377.0,280167.0,6111.0
452,2.0,2.0,1532.0,682755.0,6037.0
453,3.0,4.0,1938.0,115934.0,6037.0
454,4.0,3.0,2712.0,1044895.0,6059.0
455,1.0,2.0,1030.0,320900.0,6037.0
456,1.0,1.0,590.0,328000.0,6037.0
457,3.0,2.0,1715.0,775276.0,6037.0
458,2.0,2.0,1425.0,354489.0,6037.0
459,2.0,3.0,1328.0,238017.0,6037.0
460,2.0,2.0,1538.0,102269.0,6037.0
461,2.0,2.0,952.0,212887.0,6037.0
462,3.5,3.0,2546.0,900914.0,6059.0
463,2.0,4.0,2227.0,847000.0,6037.0
464,2.0,5.0,1850.0,69121.0,6037.0
465,2.5,4.0,2459.0,795000.0,6059.0
466,3.0,5.0,2981.0,952928.0,6111.0
467,3.0,2.0,1297.0,550550.0,6037.0
468,1.0,3.0,1370.0,1012000.0,6037.0
469,2.0,5.0,1850.0,79066.0,6037.0
470,1.0,2.0,1155.0,399716.0,6037.0
471,2.0,2.0,786.0,159811.0,6037.0
472,2.0,4.0,1384.0,54609.0,6037.0
473,2.0,3.0,1450.0,560000.0,6037.0
474,4.0,4.0,2192.0,282114.0,6037.0
475,1.0,2.0,1317.0,40955.0,6037.0
476,3.0,4.0,1703.0,347527.0,6059.0
477,4.0,7.0,2284.0,299750.0,6037.0
478,3.0,3.0,2630.0,573381.0,6037.0
479,1.0,3.0,1225.0,426009.0,6037.0
480,2.0,3.0,1841.0,790000.0,6037.0
481,3.0,3.0,1860.0,476191.0,6037.0
482,3.0,3.0,1773.0,848086.0,6037.0
483,2.5,3.0,1992.0,689000.0,6059.0
484,2.5,3.0,1691.0,604792.0,6059.0
485,2.0,2.0,1559.0,1233929.0,6037.0
486,2.5,3.0,1525.0,374376.0,6111.0
487,3.0,4.0,2269.0,710000.0,6037.0
488,3.0,4.0,2521.0,371739.0,6037.0
489,3.0,3.0,1914.0,94395.0,6037.0
490,3.0,3.0,1322.0,337000.0,6037.0
491,3.0,2.0,1998.0,502839.0,6037.0
492,2.0,3.0,1473.0,331664.0,6037.0
493,1.0,1.0,849.0,171768.0,6059.0
494,2.5,3.0,1464.0,540000.0,6059.0
495,3.0,3.0,1777.0,750643.0,6037.0
496,3.0,4.0,2349.0,799548.0,6059.0
497,4.0,4.0,2026.0,605000.0,6037.0
498,2.0,4.0,1194.0,362000.0,6059.0
499,3.0,3.0,2577.0,1760000.0,6037.0
500,3.0,4.0,2356.0,750000.0,6059.0
501,1.0,1.0,504.0,92355.0,6059.0
502,3.0,4.0,2153.0,233500.0,6037.0
503,2.0,5.0,2586.0,1894866.0,6037.0
504,2.0,2.0,1097.0,443826.0,6037.0
505,1.0,1.0,473.0,119626.0,6059.0
506,2.0,3.0,1232.0,267146.0,6037.0
507,6.0,5.0,5271.0,775576.0,6037.0
508,2.0,3.0,1284.0,477000.0,6059.0
509,1.0,2.0,1074.0,99291.0,6037.0
510,2.0,4.0,1720.0,226994.0,6037.0
511,3.5,4.0,3406.0,651587.0,6059.0
512,3.0,5.0,3142.0,660175.0,6037.0
513,2.0,4.0,1376.0,246228.0,6037.0
514,1.0,3.0,946.0,161662.0,6037.0
515,2.0,3.0,1607.0,795000.0,6037.0
516,3.0,4.0,2994.0,797421.0,6037.0
517,4.5,4.0,3477.0,706530.0,6111.0
518,2.0,4.0,1596.0,455000.0,6037.0
519,2.0,4.0,1551.0,640000.0,6037.0
520,2.0,2.0,1889.0,405568.0,6037.0
521,5.0,3.0,3353.0,720000.0,6037.0
522,2.0,2.0,1103.0,276701.0,6037.0
523,2.0,3.0,1455.0,48819.0,6037.0
524,2.0,4.0,1578.0,397610.0,6111.0
525,1.0,0.0,650.0,234050.0,6037.0
526,1.0,2.0,1139.0,941136.0,6037.0
527,2.0,3.0,1061.0,369500.0,6037.0
528,2.0,2.0,1010.0,390000.0,6037.0
529,2.5,4.0,2125.0,636000.0,6111.0
530,2.0,3.0,1298.0,174483.0,6059.0
531,2.0,3.0,1597.0,195561.0,6111.0
532,3.0,3.0,1714.0,704162.0,6037.0
533,3.0,3.0,1833.0,735936.0,6037.0
534,2.0,3.0,1494.0,55753.0,6037.0
535,3.0,4.0,2518.0,130860.0,6059.0
536,3.0,2.0,1173.0,228431.0,6037.0
537,0.0,0.0,2457.0,107467.0,6111.0
538,2.5,4.0,2271.0,299100.0,6111.0
539,2.5,3.0,1709.0,458518.0,6111.0
540,2.0,3.0,1780.0,347615.0,6037.0
541,3.0,4.0,3381.0,546269.0,6037.0
542,3.0,3.0,1790.0,287191.0,6037.0
543,2.0,2.0,1715.0,704162.0,6037.0
544,2.0,2.0,1702.0,880000.0,6037.0
545,2.0,4.0,1675.0,74899.0,6059.0
546,2.0,4.0,1596.0,280408.0,6037.0
547,2.5,3.0,1259.0,322000.0,6111.0
548,1.0,2.0,780.0,253704.0,6037.0
549,2.0,2.0,1380.0,490679.0,6037.0
550,2.0,4.0,1742.0,146539.0,6037.0
551,2.0,5.0,2632.0,586029.0,6037.0
552,1.0,2.0,1233.0,139404.0,6037.0
553,3.0,4.0,2128.0,1346193.0,6037.0
554,2.0,2.0,1023.0,227401.0,6037.0
555,3.0,4.0,3102.0,564429.0,6037.0
556,1.0,1.0,728.0,263965.0,6059.0
